ParaFit_Host,ParaFit_Symbiont,ParaFit_F1_mean_adj_pval,ParaFit_F2_mean_adj_pval,ParaFit_F1_padj_comp,ParaFit_F2_padj_comp,ParaFit_F1_sig,ParaFit_F2_sig,PACo_Host,PACo_Symbiont,PACo_Jackknife_Mean,PACo_Jackknife_UCI,PACo_Jackknife_sig
1805113Tt_Host_T_turrifex_from_Texas_UTTyler,ATs1P1,0.0069252651562461,0.00685549771438563,all_significant,all_significant,TRUE,TRUE,ATs1P1,1805113Tt_Host_T_turrifex_from_Texas_UTTyler,0.00181748311011411,0.0051050273697963,FALSE
1705091Ts_Host_T_septentrionalis_from_Texas_BrazosCounty,ATs2B4,0.811,0.814,none_significant,none_significant,FALSE,FALSE,ATs2B4,1705091Ts_Host_T_septentrionalis_from_Texas_BrazosCounty,0.00142739418593488,0.00207840620551135,FALSE
1705092Ts_Host_T_septentrionalis_from_Texas_BrazosCounty,ATs3B4,0.311483863121006,0.302140303030303,none_significant,none_significant,FALSE,FALSE,ATs3B4,1705092Ts_Host_T_septentrionalis_from_Texas_BrazosCounty,0.000603501760250986,0.00108457059283231,FALSE
1705131Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty,ATs4B4,0.30203,0.29186,none_significant,none_significant,FALSE,FALSE,ATs4B4,1705131Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty,0.000678061830556735,0.00118770243655664,FALSE
1705132Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty,ATs5B2,0.169577676767677,0.163386666666667,none_significant,none_significant,FALSE,FALSE,ATs5B2,1705132Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty,0.000646247275272844,0.00146315135269923,FALSE
1705142Ts_Host_T_septentrionalis_from_Texas_WallerCounty,ATs6B2,0.143433830138116,0.136919819061645,none_significant,none_significant,FALSE,FALSE,ATs6B2,1705142Ts_Host_T_septentrionalis_from_Texas_WallerCounty,0.000536753988776467,0.00121930326468711,FALSE
1705146Ts_Host_T_septentrionalis_from_Texas_WallerCounty,ATs7B2,0.156,0.148034949494949,none_significant,none_significant,FALSE,FALSE,ATs7B2,1705146Ts_Host_T_septentrionalis_from_Texas_WallerCounty,0.000622553935874906,0.00125594777507515,FALSE
1705147Ts_Host_T_septentrionalis_from_Texas_WallerCounty,ATs8B2,0.16869,0.161561519040606,none_significant,none_significant,FALSE,FALSE,ATs8B2,1705147Ts_Host_T_septentrionalis_from_Texas_WallerCounty,0.000630843137071797,0.00137249851700147,FALSE
1706101Ts_Host_T_septentrionalis_from_Texas_HarrisCounty,ATs9B4,0.321502222222222,0.31117,none_significant,none_significant,FALSE,FALSE,ATs9B4,1706101Ts_Host_T_septentrionalis_from_Texas_HarrisCounty,0.000323088367584974,0.000623659789878886,TRUE
1706102Ts_Host_T_septentrionalis_from_Texas_HarrisCounty,ATs10B4,0.299,0.293,none_significant,none_significant,FALSE,FALSE,ATs10B4,1706102Ts_Host_T_septentrionalis_from_Texas_HarrisCounty,0.00050045764317426,0.000939817316900526,FALSE
1706141Ts_Host_T_septentrionalis_from_Texas_WallerCounty,ATs11B4,0.36468,0.356,none_significant,none_significant,FALSE,FALSE,ATs11B4,1706141Ts_Host_T_septentrionalis_from_Texas_WallerCounty,0.000729853632135246,0.000876681391518754,FALSE
1706171Ts_Host_T_septentrionalis_from_Texas_BastropCounty,ATs13B4,0.305,0.296,none_significant,none_significant,FALSE,FALSE,ATs13B4,1706171Ts_Host_T_septentrionalis_from_Texas_BastropCounty,0.000763715597026354,0.00130273523829472,FALSE
1706175Ts_Host_T_septentrionalis_from_Texas_BastropCounty,ATs15B5,0.0154688655621738,0.0132642695975445,all_significant,all_significant,TRUE,TRUE,ATs15B5,1706175Ts_Host_T_septentrionalis_from_Texas_BastropCounty,0.00170730680368003,0.00277645163861906,FALSE
JLL1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty,ATs16B4,0.31447306122449,0.306,none_significant,none_significant,FALSE,FALSE,ATs16B4,JLL1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty,0.00122126542188585,0.00187678625970608,FALSE
JLL1805112Ts_Host_T_septentrionalis_from_Texas_UTTyler,ATs17B3,0.972,0.973,none_significant,none_significant,FALSE,FALSE,ATs17B3,JLL1805112Ts_Host_T_septentrionalis_from_Texas_UTTyler,0.0112846952851329,0.0132255464825737,FALSE
