hs_assoc.symbiont_taxa,hs_assoc.host_taxa,name.for.fig
'1805113Tt_Host_T_turrifex_from_Texas_UTTyler',ATs1P1,AM1805113
'1705091Ts_Host_T_septentrionalis_from_Texas_BrazosCounty',ATs2B4,JLL1705091
'1705092Ts_Host_T_septentrionalis_from_Texas_BrazosCounty',ATs3B4,JLL1705092
'1705131Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty',ATs4B4,JLL1705131
'1705132Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty',ATs5B2,JLL1705132
'1705142Ts_Host_T_septentrionalis_from_Texas_WallerCounty',ATs6B2,JNS1705142
'1705146Ts_Host_T_septentrionalis_from_Texas_WallerCounty',ATs7B2,JLL1705146
'1705147Ts_Host_T_septentrionalis_from_Texas_WallerCounty',ATs8B2,JLL1705147
'1706101Ts_Host_T_septentrionalis_from_Texas_HarrisCounty',ATs9B4,JLL1706101
'1706102Ts_Host_T_septentrionalis_from_Texas_HarrisCounty',ATs10B4,JLL1706102
'1706141Ts_Host_T_septentrionalis_from_Texas_WallerCounty',ATs11B4,JLL1706141
'1706171Ts_Host_T_septentrionalis_from_Texas_BastropCounty',ATs13B4,JLL1706171
'1706175Ts_Host_T_septentrionalis_from_Texas_BastropCounty',ATs15B5,JLL1706175
'JLL1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty',ATs16B4,JLL1803312
'JLL1805112Ts_Host_T_septentrionalis_from_Texas_UTTyler',ATs17B3,JLL1805112
'JNS1604072Ts10_Host_T_septentrionalis_from_Texas_UTTyler',ATs18B4,JNS1604072Ts10
'JNS1605215_Host_T_septentrionalis_from_Texas_BastropCounty',ATs19B4,JNS1605215
'JNS1605224_Host_T_septentrionalis_from_Texas_Stengl',ATs20B4,JNS1605224
'JNS1605243_Host_T_septentrionalis_from_Texas_UpshurCounty',ATs21B4,JNS1605243
'JNS1605312_Host_T_septentrionalis_from_Texas_UTTyler',ATs22B5,JNS1605312
'JNS1605313_Host_T_septentrionalis_from_Texas_UTTyler',ATs23B5,JNS1605313
'JNS1605315_Host_T_septentrionalis_from_Texas_SmithCounty',ATs24B5,JNS1605315
'JNS1704078Ts_Host_T_septentrionalis_from_Texas_Stengl',ATs25B4,JNS1704078
'JNS1705237Ts_Host_T_septentrionalis_from_Oklahoma_Norman',ATs27B5,JNS1705237
'KK16053004_Host_T_septentrionalis_from_Texas_CherokeeCounty',ATs28B4,KK16053004
'SS1705238Ts_Host_T_septentrionalis_from_Oklahoma_ClevelandCounty',ATs30B4,SS1705238
'SS1803301Ts_Host_T_septentrionalis_from_Texas_FayetteCounty',ATs31B4,SS1803301
'SS1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty',ATs32B4,SS1803312
'1804292Tt_Host_T_turrifex_from_Texas_GrimesCounty',AMt4B4,JLL1804292
'1704211Tt_Host_T_turrifex_from_Texas_UTTyler',AMt2B5,JLL1704211
