	ATs1P1	ATs2B4	ATs3B4	ATs4B4	ATs5B2	ATs6B2	ATs7B2	ATs8B2	ATs9B4	ATs10B4	ATs11B4	ATs13B4	ATs15B5	ATs16B4	ATs17B3	ATs18B4	ATs19B4	ATs20B4	ATs21B4	ATs22B5	ATs23B5	ATs24B5	ATs25B4	ATs27B5	ATs28B4	ATs30B4	ATs31B4	ATs32B4	AMt4B4	AMt2B5
"'1805113Tt_Host_T_turrifex_from_Texas_UTTyler'"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705091Ts_Host_T_septentrionalis_from_Texas_BrazosCounty'"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705092Ts_Host_T_septentrionalis_from_Texas_BrazosCounty'"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705131Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty'"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705132Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty'"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705142Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705146Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1705147Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1706101Ts_Host_T_septentrionalis_from_Texas_HarrisCounty'"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1706102Ts_Host_T_septentrionalis_from_Texas_HarrisCounty'"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1706141Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1706171Ts_Host_T_septentrionalis_from_Texas_BastropCounty'"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'1706175Ts_Host_T_septentrionalis_from_Texas_BastropCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'JLL1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'JLL1805112Ts_Host_T_septentrionalis_from_Texas_UTTyler'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'JNS1604072Ts10_Host_T_septentrionalis_from_Texas_UTTyler'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"'JNS1605215_Host_T_septentrionalis_from_Texas_BastropCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"'JNS1605224_Host_T_septentrionalis_from_Texas_Stengl'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"'JNS1605243_Host_T_septentrionalis_from_Texas_UpshurCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"'JNS1605312_Host_T_septentrionalis_from_Texas_UTTyler'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"'JNS1605313_Host_T_septentrionalis_from_Texas_UTTyler'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"'JNS1605315_Host_T_septentrionalis_from_Texas_SmithCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"'JNS1704078Ts_Host_T_septentrionalis_from_Texas_Stengl'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"'JNS1705237Ts_Host_T_septentrionalis_from_Oklahoma_Norman'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"'KK16053004_Host_T_septentrionalis_from_Texas_CherokeeCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"'SS1705238Ts_Host_T_septentrionalis_from_Oklahoma_ClevelandCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"'SS1803301Ts_Host_T_septentrionalis_from_Texas_FayetteCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"'SS1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"'1804292Tt_Host_T_turrifex_from_Texas_GrimesCounty'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"'1704211Tt_Host_T_turrifex_from_Texas_UTTyler'"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
